dC1        dC2        P1         P2         P3         C1         C2         D          N          Stabile    Residuo          Eigenvalues 7D (Re + Im j)                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.1508     0.5908     0.9892     0.1746     0.2954     0.0563     0.0563     4.9003     0.0279     SI         0.0000000540     -3.344410+0.000000j | -0.014430+0.147661j | -0.014430-0.147661j | -0.003302+0.052293j | -0.003302-0.052293j | +0.000000+0.000000j | -0.000000+0.000000j
0.9728     0.5373     0.5030     0.0941     0.2169     0.0726     0.0726     5.4802     0.0607     SI         0.0000000237     -1.546468+0.000000j | -0.029879+0.232383j | -0.029879-0.232383j | -0.003373+0.081113j | -0.003373-0.081113j | -0.000000+0.000000j | -0.000000+0.000000j
1.0527     0.6169     0.9001     0.2480     0.3521     0.0582     0.0582     4.8553     0.0281     SI         0.0000000041     -3.283892+0.000000j | -0.013832+0.148756j | -0.013832-0.148756j | -0.004136+0.057450j | -0.004136-0.057450j | -0.000000+0.000000j | -0.000000+0.000000j
1.1214     0.7100     2.2924     0.9602     0.6929     0.0272     0.0272     2.4947     0.0053     SI         0.0000000000     -9.376997+0.000000j | -0.005394+0.061046j | -0.005394-0.061046j | -0.005560+0.022778j | -0.005560-0.022778j | +0.000000+0.000000j | +0.000000+0.000000j
0.4342     0.6995     0.1500     0.3982     0.4462     0.0927     0.0927     5.2540     0.0662     SI         0.0000000035     -1.362953+0.000000j | -0.025481+0.155684j | -0.025481-0.155684j | -0.003562+0.114711j | -0.003562-0.114711j | -0.000000+0.000000j | +0.000000+0.000000j
0.8494     0.4220     0.2637     0.0234     0.1082     0.0910     0.0910     5.7834     0.1393     SI         0.0000002724     -0.463359+0.000000j | -0.043459+0.428450j | -0.043459-0.428450j | -0.002225+0.101792j | -0.002225-0.101792j | +0.000000+0.000000j | +0.000001+0.000000j
0.8226     0.7939     1.3219     1.4249     0.8441     0.0350     0.0350     2.8317     0.0074     SI         0.0000000008     -7.528715+0.000000j | -0.004371+0.069353j | -0.004371-0.069353j | -0.007063+0.031198j | -0.007063-0.031198j | +0.000000+0.000000j | -0.000000+0.000000j
1.3391     0.6186     2.1249     0.2933     0.3829     0.0369     0.0369     3.6151     0.0099     SI         0.0000000305     -7.172607+0.000000j | -0.008454+0.079465j | -0.008454-0.079465j | -0.003365+0.027129j | -0.003365-0.027129j | -0.000000+0.000000j | -0.000000+0.000000j
0.7811     0.5582     0.3512     0.1342     0.2591     0.0824     0.0824     5.5157     0.0750     SI         0.0000000000     -1.191450+0.000000j | -0.035181+0.248630j | -0.035181-0.248630j | -0.004840+0.103713j | -0.004840-0.103713j | -0.000000+0.000000j | +0.000000+0.000000j
0.4789     0.6177     0.1572     0.2272     0.3371     0.1000     0.1000     5.4834     0.0951     SI         0.0000000003     -0.866706+0.000000j | -0.039216+0.220313j | -0.039216-0.220313j | -0.004641+0.134820j | -0.004641-0.134820j | -0.000000+0.000000j | +0.000000+0.000000j
0.7862     0.6028     0.4186     0.2054     0.3204     0.0770     0.0770     5.3448     0.0569     SI         0.0000000000     -1.644684+0.000000j | -0.025067+0.207966j | -0.025067-0.207966j | -0.005394+0.093540j | -0.005394-0.093540j | -0.000000+0.000000j | +0.000000+0.000000j
0.6595     0.6928     0.4010     0.4315     0.4645     0.0741     0.0741     5.0134     0.0413     SI         0.0000000000     -2.242688+0.000000j | -0.015288+0.156887j | -0.015288-0.156887j | -0.006924+0.086340j | -0.006924-0.086340j | +0.000000+0.000000j | -0.000000+0.000000j
0.7937     0.6129     0.4445     0.2260     0.3361     0.0752     0.0752     5.2904     0.0525     SI         0.0000000000     -1.791048+0.000000j | -0.022860+0.198745j | -0.022860-0.198745j | -0.005469+0.090105j | -0.005469-0.090105j | -0.000000+0.000000j | +0.000000+0.000000j
0.7067     0.6743     0.4379     0.3801     0.4360     0.0732     0.0732     5.0575     0.0420     SI         0.0000000000     -2.216307+0.000000j | -0.016319+0.164776j | -0.016319-0.164776j | -0.006563+0.085340j | -0.006563-0.085340j | -0.000000+0.000000j | +0.000000+0.000000j
0.6344     0.7509     0.4657     0.6879     0.5865     0.0664     0.0664     4.5990     0.0282     SI         0.0000000000     -3.116348+0.000000j | -0.009633+0.122873j | -0.009633-0.122873j | -0.007442+0.071197j | -0.007442-0.071197j | +0.000000+0.000000j | -0.000000+0.000000j
